Nombre Estacion	Nro Estacion	Año	Mes	Dia	Temperatura media diaria	Cant obs. 1	Temperatura de rocio	Cant obs. 2	Presion reducida al nivel medio del mar (hpa)	Cant obs. 3	Presion al nivel de la estacion (hpa)	Cant obs. 4	Visibilidad en km	Cant obs. 5	Viento medio (m/s)	Cant obs. 6	Máximo viento sostenido (m/s)	Temperatura Máxima (Celsisus)	Temperatura Minima (Celsisus)	Total precipitation en mm	Neblina	Lluvia o llovizna	Nieve o agua nieve	Granizo	Tormenta	Cluster_SOM_1
Azul_Aero	876410	2013	5	1	14,8	8	13,5	8	1015	8	997,5	8	10	8	4	8	5,7	23	7,5	4,1	1	1	0	0	0	c_som_3_1
Azul_Aero	876410	2013	5	2	15,2	8	14,1	8	1014,2	8	996,6	8	8,2	8	2,9	8	4,6	17,7	13,9	4,1	1	1	0	0	0	c_som_3_1
Azul_Aero	876410	2013	5	3	12,6	8	11,7	8	1014,6	8	997	8	11,7	8	3,9	8	6,7	18,3	10,9	7,9	0	1	0	0	0	c_som_2_1
Azul_Aero	876410	2013	5	4	11,9	8	9	8	1015,3	8	997,6	8	9,5	8	3,2	8	7,2	18,5	4,6	2	1	0	0	0	0	c_som_3_1
Azul_Aero	876410	2013	5	5	11,9	8	7,2	8	1019,4	8	1001,7	8	13	8	2,4	8	5,1	19,9	5,5	0	0	0	0	0	0	c_som_3_2
Azul_Aero	876410	2013	5	6	12,6	8	8,3	8	1013,5	8	995,8	8	15	8	4	8	7,2	19,8	6,6	0	0	0	0	0	0	c_som_3_2
Azul_Aero	876410	2013	5	7	8,5	8	2,6	8	1020,4	8	1002,5	8	15	8	3,9	8	9,3	19,8	0	0	0	0	0	0	0	c_som_3_2
Azul_Aero	876410	2013	5	8	12,8	8	4,9	8	1010,6	8	992,9	8	15	8	6,4	8	9,3	22,2	2,8	0	0	0	0	0	0	c_som_2_3
Azul_Aero	876410	2013	5	9	14,2	8	9,8	8	1013,3	8	995,7	8	14,3	8	2,3	8	4,6	22,5	4,2	0	0	0	0	0	0	c_som_3_2
Azul_Aero	876410	2013	5	10	16,1	8	12,9	8	1010,9	8	993,5	8	10,9	8	3,2	8	4,1	23,4	7,2	0	0	0	0	0	0	c_som_3_2
Azul_Aero	876410	2013	5	11	14,4	8	8,1	8	1014,2	8	996,7	8	15,6	8	2,9	8	6,2	20,9	6,4	0	0	0	0	0	0	c_som_3_2
Azul_Aero	876410	2013	5	12	8,6	8	3,8	8	1016,8	8	998,8	8	13,2	8	1,8	8	4,6	19,2	-0,5	0	0	0	0	0	0	c_som_3_2
Azul_Aero	876410	2013	5	13	11	8	3,9	8	1015,6	8	997,8	8	13,7	8	2	8	4,1	19,7	1	0	0	0	0	0	0	c_som_3_2
Azul_Aero	876410	2013	5	14	10,2	8	3,6	8	1014,2	8	996,3	8	13,7	8	2,2	8	4,1	18,8	4	0	0	1	0	0	0	c_som_2_1
Azul_Aero	876410	2013	5	15	4,6	8	-3,7	8	1017,3	8	999,2	8	17,5	8	4,1	8	8,2	16,5	-0,3	0	0	0	0	0	0	c_som_1_1
Azul_Aero	876410	2013	5	16	5,6	8	-1,5	8	1022,2	8	1004	8	15	8	4,1	8	7,7	11,2	-0,8	0	0	0	0	0	0	c_som_1_1
Azul_Aero	876410	2013	5	17	6,7	8	-0,1	8	1024,7	8	1006,4	8	15	8	2,8	8	4,6	15,2	-1,4	0	0	0	0	0	0	c_som_1_1
Azul_Aero	876410	2013	5	19	8,1	8	7,5	8	1024,9	8	1006,7	8	7,6	8	1,8	8	4,1	11,5	0,3	7,9	0	1	0	0	0	c_som_2_1
Azul_Aero	876410	2013	5	20	9	8	7,6	8	1022,8	8	1004,7	8	6,6	8	0,7	8	1	10,6	7,5	1	1	0	0	0	0	c_som_3_1
Azul_Aero	876410	2013	5	21	5,9	8	4	8	1019,7	8	1001,5	8	5,8	8	1,4	8	3,1	16	-1,5	0	1	0	0	0	0	c_som_3_1
Azul_Aero	876410	2013	5	22	8,2	8	4,9	8	1021	8	1002,9	8	8,4	8	1,1	8	1,5	17,7	-0,4	0	1	0	0	0	0	c_som_3_1
Azul_Aero	876410	2013	5	23	7,5	8	5,6	8	1019,9	8	1001,9	8	7,2	8	2,7	8	6,7	17,9	0,5	0	1	0	0	0	0	c_som_3_1
Azul_Aero	876410	2013	5	24	10,9	8	7,2	8	1019,1	8	1001,2	8	12,6	8	4,3	8	7,7	16,5	2,5	0	0	0	0	0	0	c_som_2_3
Azul_Aero	876410	2013	5	25	6,1	8	4,4	8	1020,5	8	1002,3	8	10,5	8	2,3	8	5,7	16,4	-0,4	0	1	0	0	0	0	c_som_3_1
Azul_Aero	876410	2013	5	26	12,1	8	9,2	8	1013,1	8	995,3	8	10,3	8	5,7	8	9,8	19,3	0,6	0	1	0	0	0	0	c_som_3_1
Azul_Aero	876410	2013	5	27	8,5	8	6,4	8	1011	8	993,2	8	6,4	8	1,9	8	6,2	19,3	1	0	1	0	0	0	0	c_som_3_1
