Nombre Estacion	Provincia	Fecha	Estacion	Temperatura media diaria	Temperatura de rocio	 Presion reducida al nivel medio del mar (hpa)	Presion al nivel de la estacion (hpa)	Visibilidad en km	 Viento medio (m/s)	Máximo viento sostenido (m/s)	 Temperatura Máxima (Celsisus)	Temperatura Minima (Celsisus)	Neblina	Lluvia	Nieve o agua nieve	Granizo	Cluster_SOM_1
San_Martin_Mza	Mendoza	10103	Verano	25,1	10,1	1007,2	935	15	1,7	2,6	33,2	15,1	0	0	0	0	c_som_3_1
Iguazu_Aero	Misiones	10103	Verano	24,4	20,4	1014,4	983,5	13,8	2,2	5,1	31	18	0	0	0	0	c_som_3_2
San_Julian_Aero	Santa_Cruz_E	10103	Verano	14,9	8,2	1002,6	997,2	29,9	6,6	16,4	18	11,9	0	0	0	0	c_som_1_1
Azul_Aero	Buenos_Aires_C	10103	Verano	18,2	12,6	1017,5	1000	17,5	5,8	7,7	25,8	11,5	0	0	0	0	c_som_3_2
Aeroparque_B_Aires_Aero	Buenos_Aires_NE	10103	Verano	21,3	13,7	1018,7	1018	10,8	4,4	6,2	26	18	0	0	0	0	c_som_3_2
Resistencia_Aero	Chaco	10103	Verano	22,4	15,7	1014,7	1008,6	11,7	2,4	4,1	30	14,1	0	0	0	0	c_som_3_2
Rosario_Aero	Santa_Fe	10103	Verano	22,4	12,8	1016,6	1013,6	11,6	4,2	6,7	28,9	16,1	0	0	0	0	c_som_3_2
Posadas_Aero	Misiones	10103	Verano	24,4	16,9	1015,2	1000,8	13,8	1,5	2,6	32,5	17,4	0	0	0	0	c_som_3_2
Esquel_Aero	Chubut	10103	Verano	17,1	2,9	1008,2	919	29,9	4	8,2	22	9,2	0	0	0	0	c_som_2_1
Tucuman_Aero_II	Tucuman	10103	Verano	24,5	16,2	1010,6	960,2	12,2	2,2	6,2	34,5	17,6	0	0	0	0	c_som_3_1
Cordoba_Aero	Cordoba_C	10103	Verano	21,2	10,7	1013,8	957,2	11,6	6,5	10,8	30	12,7	0	0	0	0	c_som_3_1
San_Juan_Aero_II	San_Juan	10103	Verano	27,1	6,7	1006,3	940,3	15	2,8	6,2	35,2	17,6	0	0	0	0	c_som_3_1
Pilar	Cordoba_C	10103	Verano	22	10,6	1014,5	975,7	20	4,9	7,7	29,4	14,8	0	0	0	0	c_som_3_1
Santa_Rosa_Aero	La_Pampa	10103	Verano	23,3	11,9	1011,4	989,4	16,3	7,3	9,3	31,5	15,8	0	0	0	0	c_som_3_2
Rio_Gallegos_Aero	Santa_Cruz_S	10103	Verano	13,5	1,2	999,8	997,5	17,7	7,9	13,9	20	6,3	0	0	0	0	c_som_1_2
Bahia_Blanca_Aero	Buenos_Aires_C	10103	Verano	21,7	10	1012	1002,3	13	8,2	15,4	31,5	9,2	0	0	0	0	c_som_1_2
Oran_Aero	Salta	10103	Verano	23,5	19	1011,8	971,6	10	1,5	3,1	28,8	20	0	0	0	0	c_som_3_2
San_Rafael_Aero	Mendoza	10103	Verano	25,6	8,4	1006,9	924,7	18,2	4,6	15,4	33,2	16,2	0	1	0	0	c_som_3_1
General_Pico_Aero	La_Pampa	10103	Verano	22,8	13,4	1012,2	995,5	16,6	7,3	12,3	29,6	16,8	0	0	0	0	c_som_3_2
Ezeiza_Aero	Buenos_Aires_NE	10103	Verano	21,4	11,8	1018,8	1016,4	10	4,3	6,2	27	16	0	0	0	0	c_som_3_2
Villa_Reynolds_Aero	San_Luis	10103	Verano	24,1	11,2	1009,7	955,1	15	5,2	8,2	32,4	12,9	0	0	0	0	c_som_3_1
Santa_Rosa_Aero	La_Pampa	10104	Verano	21,7	16,2	1009,9	987,9	19,2	4	6,2	32,3	17	0	1	0	0	c_som_3_2
Mendoza_Aero	Mendoza	10104	Verano	26,6	12,1	1006,2	929,6	12,4	3,8	7,2	34,5	20,2	0	1	0	0	c_som_3_1
Villa_Reynolds_Aero	San_Luis	10104	Verano	22,9	14,8	1009	954,6	13,5	4	5,1	33,6	16,8	0	1	0	0	c_som_3_1
Rio_Cuarto_Aero	Cordoba_S	10104	Verano	22,7	15,3	1009,4	961,8	12,7	6,3	11,3	30	18	0	1	0	0	c_som_3_1
La_Rioja_Aero	La_Rioja	10104	Verano	33,4	13,4	1002,7	955,9	19,2	3,8	7,2	38,4	20,8	0	0	0	0	c_som_3_1
Junin_Aero	Buenos_Aires_N	10104	Verano	22,7	16,9	1012	1002,6	10,3	5,4	8,2	31	16,5	0	1	0	0	c_som_3_2
Marcos_Juarez_Aero	Cordoba_E	10104	Verano	22,2	17,6	1011,2	997,9	20	4,5	6,7	30,6	14,2	0	0	0	0	c_som_3_2
Rio_Gallegos_Aero	Santa_Cruz_S	10104	Verano	15,2	0,4	1004,5	1002,2	17,4	4,3	10,3	22,3	6,2	0	0	0	0	c_som_1_2
Iguazu_Aero	Misiones	10104	Verano	25,2	22,3	1014,3	983,6	13,5	2,7	5,7	31,2	19,8	0	0	0	0	c_som_3_2
Trelew_Aero	Chubut	10104	Verano	18,9	6,9	1011,3	1006,3	29,9	3,8	7,2	29,6	11,4	0	0	0	0	c_som_1_1
Concordia_Aero	Entre_Rios	10104	Verano	26,1	19,3	1013,2	1008,7	15	4,8	10,3	33,1	19,6	0	0	0	0	c_som_3_2
San_Juan_Aero_II	San_Juan	10104	Verano	27,6	8,8	1006	940,5	15	6,1	8,7	36,6	21,4	0	0	0	0	c_som_3_1
Ceres_Aero	Santa_Fe	10104	Verano	27,4	18,1	1010,3	1000,2	15	4,7	6,2	35,2	20,5	0	0	0	0	c_som_3_2
